매물코드,지역코드,지역명,매물정보,매물방식,주거형태,면적,층,특이사항,확인매물,거래가액,월세,태그,부동산,매물방향
2115970360,1144011100,마포구 ,SITE,월세,원룸,24,1/5,광흥창역 대흥역세권 풀옵신축 사무실사용가능,21.06.21.,"1,000",60,"['2년이내', '융자금없는', '1층']",효성해링턴 공인중개사사무소,남동향
2115765163,1144011100,마포구 ,SITE,월세,원룸,29,4/5,올리모델링 룸메이트 두분이 쓰시면 좋아요.배랜다 공간 넓음,21.06.18.,"3,000",80,"['25년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,북동향
2115763962,1144011100,마포구 ,SITE,월세,원룸,18,3/5,NaN,21.06.18.,"1,000",60,"['15년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,남향
2115764635,1144011100,마포구 ,SITE,월세,원룸,18,4/5,올리모델링 보증금조정가능 1천60 가능,21.06.18.,"2,000",55,"['25년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,북향
2115665893,1144010900,마포구 ,SITE,월세,원룸,20,-1/2,이대역 도보5분 지층 풀옵션 분리형원룸 넓어요.,21.06.17.,500,50,"['25년이상', '융자금없는', '역세권']",이대명품공인중개사사무소,남향
2115690888,1144011500,마포구 ,SITE,월세,원룸,29,저/3,상수역 합정역 역세권  보증금 하양가능 월세 저렴한 원룸,21.06.17.,"3,000",51,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115666365,1144010900,마포구 ,SITE,월세,원룸,21,-1/4,올수리 첫입주 풀옵션 즉시입주가능,21.06.17.,500,25,"['25년이상', '융자금없는', '올수리']",이대명품공인중개사사무소,서향
2115689493,1144011500,마포구 ,SITE,월세,원룸,29,-1/3,상수역 합정역 역세권 월세 보증금 저렴한 원룸,21.06.17.,500,44,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115669819,1144010900,마포구 ,SITE,월세,원룸,40,1/2,2호선 이대역 채광좋은 투룸,21.06.17.,500,70,"['25년이상', '융자금없는', '역세권']",으뜸공인중개사사무소,서향
2115648327,1144010900,마포구 ,SITE,월세,원룸,20,-1/2,이대역 도보5분 반지층 풀옵션 분리형 리모델링1년차원룸.,21.06.17.,500,45,"['융자금없는', '역세권', '화장실한개']",이대명품공인중개사사무소,서향
2115667847,1144010800,마포구 ,SITE,월세,원룸,38,1/3,2호선 이대역 풀옵션 투룸,21.06.17.,"1,000",75,"['25년이상', '융자금없는', '역세권']",으뜸공인중개사사무소,동향
2115691345,1144011500,마포구 ,SITE,월세,원룸,29,중/3,상수역 합정역 역세권  보증금 상향 가능 월세 저렴한 원룸,21.06.17.,"1,000",57,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115689857,1144011500,마포구 ,SITE,월세,원룸,29,-1/3,상수역 합정역 역세권 월세 보증금 저렴한 원룸,21.06.17.,500,44,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115580338,1144012300,마포구 ,SITE,월세,원룸,37,3/4,망원역세권 전용 넓은 분리형 원룸 관리비 저렴 주차가능,21.06.16.,"1,000",70,"['15년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남향
2115488291,1144012500,마포구 ,SITE,월세,원룸,20,1/2,단독주택  오픈형 원룸  풀옵션  한달여유 ,21.06.15.,"1,000",40,"['25년이상', '융자금없는', '역세권']",호박공인중개사사무소,남동향
2115560787,1144012200,마포구 ,SITE,월세,원룸,20,2/3,수리완료되어있는 원룸 전입가능 보증금 월세 조정가능,21.06.16.,500,40,"['15년이내', '융자금없는', '소형평수']",유명부동산공인중개사사무소,남향
2116036208,1144011200,마포구 ,MOBL,월세,원룸,25,고/35,한강조망 풀옵션원룸 상태최상 아파트커뮤니티시설이용가능 입주협의 ,21.06.21.,"2,000",75,"['10년이내', '융자금없는', '소형평수']",웰스트림마포공인중개사사무소,남서향
2115944531,1144010900,마포구 ,MOBL,월세,원룸,62,고/4,탁트인 전망 넓은 거실 옥상창고사용,21.06.21.,"1,000",90,"['융자금없는', '역세권', '소형평수', '방한개']",삼성래미안공인중개사사무소,남서향
2116235179,1144012300,마포구 ,OWNER,월세,원룸,26,-1/2,수리된 분리형구조 원룸,21.06.22.,"1,000",45,"['융자금없는', '소형평수', '방한개']",마포우리공인중개사사무소,북서향
2116236712,1144012300,마포구 ,OWNER,월세,원룸,23,2/4,초역세권 신축4년 풀옵션 남향채광굿 깔끔함,21.06.22.,500,47,"['10년이내', '융자금없는', '역세권']",금풍공인중개사,남향
2116165889,1144012700,마포구 ,OWNER,월세,원룸,23,5/5,전용넓은 풀옵션원룸 2인거주가능 누리꿈스퀘어인접 도보출퇴근,21.06.22.,"1,000",50,"['25년이내', '융자금없는', '역세권']",로얄공인중개사사무소,남서향
2116183030,1144011100,마포구 ,OWNER,월세,원룸,18,3/4,신수동 광흥창역 도보4분  풀옵션원룸 공실 하시입주,21.06.22.,500,35,"['15년이내', '융자금없는', '역세권', '화장실한개']",대신공인중개사사무소,동향
2116192263,1144011000,마포구 ,OWNER,월세,원룸,12,4/4,신촌역 5분 월세 초 저렴,21.06.22.,500,35,"['10년이내', '융자금없는', '역세권']",신촌그랑자이공인중개사사무소 ,동향
2116140882,1144012300,마포구 ,OWNER,월세,원룸,16,2/3,빠른입주 깔끔한 풀옵션원룸,21.06.22.,500,45,"['15년이내', '융자금없는', '소형평수']",마포우리공인중개사사무소,북서향
2115104004,1144012700,마포구 ,SITE,월세,원룸,20,3/5,엘베 풀옵션 넓은 원룸.,21.06.14.,"1,000",60,"['25년이내', '융자금없는', '역세권']",연일공인중개사,동향
2116147474,1144012700,마포구 ,OWNER,월세,원룸,33,4/4,즉시입주 전용넓은 분리형 풀옵션 초역세권 DMC초근접 도보출퇴근,21.06.22.,"2,000",60,"['15년이내', '융자금없는', '역세권']",로얄공인중개사사무소,동향
2116202952,1144010100,마포구 ,OWNER,월세,원룸,70,3/4,"아현역 3분, 깨끗하고 넓음 ,올수리 풀옵션,즉시입주가능, 접근성최고",21.06.22.,"1,000",60,"['25년이내', '융자금없는', '올수리', '역세권']",파트너공인중개사사무소,남향
2116124070,1144010800,마포구 ,OWNER,월세,원룸,23,저/3,풀옵션올수리ㅣ해잘드는분리형원룸ㅣ 이대도보편리ㅣ 즉시입주가능,21.06.22.,"1,000",50,"['융자금없는', '올수리', '역세권']",이대자이랜드(3274-1999)공인중개사사무소,남서향
2115371121,1144010100,마포구 ,SITE,월세,원룸,29,고/5,"아현역,충정로역5분, 베란다있는 넓은 신축원룸,주차가",21.06.14.,"1,000",75,"['융자금없는', '역세권', '소형평수']",소망공인중개사사무소,남향
2116050369,1144012300,마포구 ,OWNER,월세,원룸,19,3/4,역세권 풀옵션 동향 채광굿 깨끗함,21.06.21.,500,45,"['25년이내', '융자금없는', '소형평수', '방한개']",금풍공인중개사,남동향
2115981571,1144011000,마포구 ,NDOC1,월세,원룸,19,2/5,전세자금대출가능 즉시입주 ,21.06.21.,"2,000",30,"['25년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,남서향
2116050632,1144011100,마포구 ,OWNER,월세,원룸,20,3/5,입주협의 6.7월가능 깨끗합니다.,21.06.21.,"4,000",40,"['15년이내', '융자금없는', '역세권', '화장실한개']",현대아이파크공인중개사사무소,북서향
2116070629,1144011100,마포구 ,OWNER,월세,원룸,16,3/5,NaN,21.06.21.,"1,000",50,"['15년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,남동향
2116070070,1144011100,마포구 ,OWNER,월세,원룸,26,4/5,역세권 풀옵션 위치좋은 다세대원룸,21.06.21.,"5,500",28,"['25년이내', '융자금없는', '역세권', '화장실한개']",현대아이파크공인중개사사무소,동향
2116054758,1144012500,마포구 ,OWNER,월세,원룸,25,3/3,역세권 옥탑방1개 부억 화장실 남향채광굿 깨끗함,21.06.21.,300,35,"['25년이내', '융자금없는', '역세권', '소형평수']",금풍공인중개사,남향
2116183111,1144011500,마포구 ,OWNER,월세,원룸,20,2/4,공실 상수역3분 2008년준공 깨끗한 풀옵션 원룸,21.06.22.,"1,000",50,"['15년이내', '융자금없는', '역세권', '화장실한개']",대신공인중개사사무소,서향
2116070841,1144011100,마포구 ,OWNER,월세,원룸,28,4/5,올수리 배렌다 있고 초 역세권 남향 먼저 선점 하세요,21.06.21.,"3,000",80,"['25년이내', '융자금없는', '올수리']",현대아이파크공인중개사사무소,남향
2116100331,1144010400,마포구 ,OWNER,월세,원룸,26,2/2,2층전체 풀옵션  남향,21.06.21.,"1,000",40,"['25년이내', '융자금없는', '역세권']",한일공인중개사,남향
2116063288,1144011100,마포구 ,OWNER,월세,원룸,28,2/4,신축후 첫 입주이며 풀옵션이며 전용넓음,21.06.21.,"1,000",70,"['2년이내', '융자금없는', '소형평수']",경기공인,동향
2116061631,1144011100,마포구 ,OWNER,월세,원룸,20,2/4,신축후 첫 입주 하는 풀옵션 원룸입니다,21.06.21.,"1,000",60,"['2년이내', '융자금없는', '소형평수']",경기공인,동향
2116097098,1144010800,마포구 ,OWNER,월세,원룸,31,2/2,"분리형의 풀옵션,방큼,2층,주차됨,대흥초역세권,날짜협의",21.06.21.,"2,000",53,"['25년이상', '융자금없는', '역세권']",자타(713-9100)공인중개사사무소,남서향
2115875509,1144010400,마포구 ,MOBL,월세,원룸,34,고/5,NaN,21.06.18.,"1,000",75,"['25년이내', '융자금없는', '역세권']",우방공인중개사사무소,남향
2115868465,1144011000,마포구 ,MOBL,월세,원룸,29,6/6,노고산동 신축급 풀옵션 복층형 원룸 채광최고  빠른입주가능,21.06.18.,"1,000",80,"['4년이내', '융자금없는', '역세권']",홍대하늘공인중개사사무소,남향
2115943055,1144010800,마포구 ,OWNER,월세,원룸,67,4/4,"대흥역 1분,풀옵션,즉시입주, 깨끗하게 도배되어있는원룸",21.06.19.,500,45,"['25년이내', '융자금없는', '역세권', '방한개']",SK온(701-3113)공인중개사사무소,남향
2115015079,1144012000,마포구 ,SITE,월세,원룸,27,4/5,망원역세권 전용넓은 풀옵션 원룸,21.06.10.,"1억 5,200",10,"['15년이내', '융자금없는', '역세권']",키움공인중개사사무소,남서향
2115027868,1144012200,마포구 ,SITE,월세,원룸,34,3/4,합정역도보5분거리.1천만에65만.2천에60만등 주차가능. 풀옵션,21.06.10.,"2,000",60,"['15년이내', '융자금없는', '역세권']",거북공인중개사사무소,동향
2115817423,1144011000,마포구 ,NDOC1,월세,원룸,27,2/5,숲길공원가 공원뷰 깔끔한 리모델링방 채광도굿,21.06.18.,"2,000",65,"['25년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,남서향
2115011519,1144012000,마포구 ,SITE,월세,원룸,23,3/5,망원역세권 깨끗한 풀옵션 원룸,21.06.10.,500,50,"['10년이내', '융자금없는', '역세권']",키움공인중개사사무소,남동향
2115817418,1144011000,마포구 ,NDOC1,월세,원룸,19,4/5,숲길공원가 풀옵션방 리모델링방 입주협의,21.06.18.,"1,000",50,"['25년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,남동향
2115652947,1144011100,마포구 ,MOBL,월세,원룸,24,3/5,"분리형,풀옵션,내외부상태깔끔하고 광흥창역5분,광성중고등학교옆",21.06.16.,"4,000",40,"['15년이내', '융자금없는', '역세권', '화장실한개']",자타(713-9100)공인중개사사무소,북서향
2115473382,1144010700,마포구 ,MOBL,월세,원룸,13,1/3,NaN,21.06.15.,500,40,"['10년이내', '융자금없는', '역세권']",우방공인중개사사무소,북향
2115476016,1144010400,마포구 ,MOBL,월세,원룸,26,3/5,NaN,21.06.15.,"1,000",70,"['25년이내', '융자금없는', '역세권']",우방공인중개사사무소,남향
2115503487,1144011000,마포구 ,MOBL,월세,원룸,23,5/7,"신축급,분리형넓은원룸.2호선신촌역도보3분 엘베 위치 보안관리최고",21.06.15.,"1,000",70,"['융자금없는', '역세권', '소형평수']",대명공인중개사사무소,남동향
2115770758,1144011100,마포구 ,OWNER,월세,원룸,29,3/5,NaN,21.06.17.,"3,000",80,"['15년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,남향
2115847184,1144010500,마포구 ,OWNER,월세,원룸,25,2/4,"풀옵션,즉시사용가능,   주차가능",21.06.18.,"1,000",50,"['융자금없는', '역세권', '소형평수']",중앙(703-0024)공인중개사사무소,남동향
2114899348,1144011100,마포구 ,SITE,월세,원룸,28,3/5,보증금 조절가능. 올리모델링 배렌다 있음.,21.06.09.,"3,000",80,"['25년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,남향
2115753276,1144012300,마포구 ,OWNER,월세,원룸,23,2/4,즉시입주가능초역세권 신축4년 풀옵션 남향채광굿 깔끔함,21.06.17.,"1,000",45,"['10년이내', '융자금없는', '역세권']",금풍공인중개사,남향
2115018984,1144012000,마포구 ,SITE,월세,원룸,33,고/3,경의선숲길 홍대근처 월세저렴 넓은원룸,21.06.10.,"1,000",60,"['25년이상', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115680370,1144012300,마포구 ,OWNER,월세,원룸,36,-1/3,넓은방.넓은주방 분리형구조,21.06.16.,500,45,"['25년이상', '융자금없는', '화장실한개']",마포우리공인중개사사무소,북서향
2115627557,1144012700,마포구 ,OWNER,월세,원룸,19,4/5,초역세권 채광 통풍좋은 깔끔한 풀옵션 원룸 즉시입주,21.06.16.,500,47,"['15년이내', '융자금없는', '역세권']",탑공인중개사사무소,남동향
2114523870,1144012100,마포구 ,SITE,월세,원룸,73,11/18,홍대입구역 초역세권 오피스텔,21.06.09.,"1,000",75,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115620461,1144011200,마포구 ,OWNER,월세,원룸,26,고/31,원룸 한강뷰최상 풀옵션 2천85가능,21.06.16.,"1,000",90,"['10년이내', '융자금적은', '소형평수']",나라공인중개사사무소,남서향
2115626924,1144012700,마포구 ,OWNER,월세,원룸,26,5/6,교통최상 2인거주가능 채광 통풍좋은 깔끔한 풀옵션 주차가능,21.06.16.,"1,000",50,"['10년이내', '융자금없는', '역세권']",탑공인중개사사무소,남서향
2116058729,1144012300,마포구 ,DOCV2,월세,원룸,19,3/3,NaN,21.06.21.,"1,000",40,"['15년이내', '융자금없는', '역세권', '화장실한개']",리빙공인중개사사무소,남서향
2115634108,1144011100,마포구 ,NDOC1,월세,원룸,18,2/6,서강대길건너 인기 짱좋은 풀옵션 즉시입주가능,21.06.16.,"1,000",55,"['10년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,남동향
2115627933,1144011000,마포구 ,OWNER,월세,원룸,67,7/8,신촌역 초역세권 베란다 있는 넓은 원룸,21.06.16.,"1,000",68,"['25년이내', '융자금없는', '역세권']",OK공인중개사사무소,남향
2115502380,1144012500,마포구 ,OWNER,월세,원룸,23,5/5,역세권 풀옵션 엘리베이타 정남향채광좋고 조망권굿  깨끗함,21.06.15.,"1,000",40,"['25년이내', '융자금없는', '역세권', '소형평수']",금풍공인중개사,남향
2115574804,1144011000,마포구 ,OWNER,월세,원룸,24,4/5,전철역5분거리 올리모델링됨 남향 채광굿,21.06.15.,"2,000",65,"['융자금없는', '역세권', '화장실한개']",현대공인중개사사무소,남향
2115589817,1144011000,마포구 ,OWNER,월세,원룸,29,6/6,역3분 이쁜복층형 풀옵션방 2018년준공 엘리베이터유 보증금1000가능,21.06.15.,"5,000",60,"['4년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,남서향
2115534796,1144011300,마포구 ,OWNER,월세,원룸,20,저/4,광흥창역세권 서강대교옆 서강자이입구 풀옵션원룸 주차가능,21.06.15.,"1,000",45,"['25년이내', '융자금없는', '역세권', '화장실한개']",대신공인중개사사무소,남향
2115533487,1144012700,마포구 ,OWNER,월세,원룸,18,4/4,"즉시입주 풀옵션 초역세권 도보출퇴근 CJ,MBC초근접",21.06.15.,500,47,"['15년이내', '융자금없는', '역세권']",로얄공인중개사사무소,북동향
2114443096,1144012300,마포구 ,SITE,월세,원룸,25,5/5,준공2014년 오픈형원룸  풀옵션  즉시입주가능  엘리베이터는 없어요,21.06.07.,"1,000",50,"['10년이내', '융자금없는', '역세권']",호박공인중개사사무소,북동향
2114504461,1144012200,마포구 ,SITE,월세,원룸,23,고/5,반전세 보증금 상향가능한 넓은 테라스 합정 망원역세권 망리단길 풀옵 원룸,21.06.07.,"2,000",70,"['10년이내', '융자금없는', '테라스']",효성해링턴 공인중개사사무소,남동향
2115916961,1144011100,마포구 ,DOCV2,월세,원룸,27,3/5,즉시입주가능한 원룸 입니다.전세가능,21.06.21.,"2,000",65,"['융자금없는', '역세권', '화장실한개']",거북이부동산공인중개사사무소,남동향
2114512141,1144012200,마포구 ,SITE,월세,원룸,33,2/5,보증금 대출가능한 투룸,21.06.07.,"3,000",85,"['10년이내', '융자금없는', '화장실한개']",효성해링턴 공인중개사사무소,남동향
2114504134,1144012200,마포구 ,SITE,월세,원룸,23,4/5,합정 망원역세권 망리단길 풀옵 원룸,21.06.07.,"1,000",65,"['10년이내', '융자금없는', '화장실한개']",효성해링턴 공인중개사사무소,남동향
2115417303,1144010800,마포구 ,OWNER,월세,원룸,26,2/3,"대흥역3분.신축.큰방,거실있는 2층분리형입니다.",21.06.14.,"2,000",70,"['2년이내', '융자금없는', '역세권']",한솔공인중개사사무소,남동향
2115577647,1144012000,마포구 ,OWNER,월세,원룸,24,2/5,홍대 인근에 가성비 좋은 전용 넓은 원룸 입니다.,21.06.15.,"1,000",55,"['25년이내', '융자금없는', '역세권']",동진공인중개사사무소,남향
2115576335,1144012000,마포구 ,OWNER,월세,원룸,35,3/5,"넓은 원룸 , 풀옵션 , 홍대입구역 6분 , 즉시입주가능",21.06.15.,"2,000",60,"['25년이내', '융자금없는', '역세권']",이룸공인중개사사무소,남동향
2115425321,1144011100,마포구 ,OWNER,월세,원룸,29,2/4,"대흥역5분,깔끔하고 전용넓은 풀옵션,8월말 입주협의",21.06.14.,"2,000",50,"['융자금없는', '역세권', '소형평수', '방한개']",원앤탑공인중개사사무소,남동향
2115392184,1144011400,마포구 ,OWNER,월세,원룸,33,3/5,교통편리하고전용넓은방,21.06.14.,"1,000",60,"['25년이상', '융자금없는', '역세권', '화장실한개']",까치공인중개사,동향
2115392682,1144011400,마포구 ,OWNER,월세,원룸,23,2/4,보증조정가능 입주하시,21.06.14.,"1,000",50,"['25년이상', '융자금없는', '역세권']",까치공인중개사,남향
2115391806,1144011400,마포구 ,OWNER,월세,원룸,26,2/5,전용넓은원룸,21.06.14.,500,55,"['25년이상', '융자금없는', '역세권', '화장실한개']",까치공인중개사,남향
2115393178,1144011400,마포구 ,OWNER,월세,원룸,23,1/4,전용넓은원룸,21.06.14.,500,50,"['25년이상', '융자금없는', '역세권']",까치공인중개사,남향
2115371595,1144011500,마포구 ,OWNER,월세,원룸,25,2/5,상수역 2분 초역세권 넓은 원룸 보증금조절 가능,21.06.14.,"1,000",50,"['15년이내', '융자금없는', '역세권']",마포탑공인중개사사무소,남향
2115649433,1144010800,마포구 ,MOBL,월세,원룸,33,3/3,"1.5룸분리형월세,2000만에30만부분월세가능",21.06.17.,500,50,"['25년이내', '융자금없는', '역세권', '화장실한개']",-,남향
2115285532,1144011100,마포구 ,OWNER,월세,원룸,29,3/5,전용과 베란다가 넓고 주차가능한 풀옵션 원룸임,21.06.12.,500,65,"['15년이내', '융자금없는', '역세권', '화장실한개']",경기공인,동향
2115304374,1144011100,마포구 ,OWNER,월세,원룸,17,2/5,신축후 첫입주하는 풀옵션 분리형원룸입니다,21.06.12.,"1,000",60,"['2년이내', '융자금없는', '역세권', '소형평수']",경기공인,동향
2115294867,1144011100,마포구 ,OWNER,월세,원룸,27,2/5,신축후 첫입하는 분리형 원룸입니다,21.06.12.,"2,000",70,"['2년이내', '융자금없는', '역세권', '화장실한개']",경기공인,서향
2116115536,1144012300,마포구 ,DOC,월세,원룸,26,3/6,초역세권 풀옵션 내부깔끔한강추원룸,21.06.22.,"1,000",60,"['10년이내', '융자금없는', '역세권', '화장실한개']",구청역공인중개사,남향
2116183412,1144012200,마포구 ,DOC,월세,원룸,33,4/5,넓은원룸 테라스 베란다 풀옵 즉시 주차,21.06.22.,"2,000",70,"['15년이내', '융자금없는', '테라스']",초록공인중개사사무소,북서향
2116122414,1144012300,마포구 ,DOC,월세,원룸,15,고/3,NaN,21.06.22.,"1,000",45,"['25년이상', '융자금적은', '역세권', '화장실한개']",유원공인중개사,북향
2116171070,1144012400,마포구 ,DOC,월세,원룸,28,3/4,연남동 메인 골목 올수리후 첫입주 넓은 원룸 월세 보증금조정가능,21.06.22.,"1,000",70,"['25년이내', '융자금없는', '올수리']",홍대코오롱공인중개사사무소,북동향
2116196838,1144012300,마포구 ,DOC,월세,원룸,15,3/5,NaN,21.06.22.,"2,000",35,"['15년이내', '융자금없는', '역세권', '소형평수']",유원공인중개사,남향
2116178950,1144012200,마포구 ,DOC,월세,원룸,28,-1/3,깊지 않은 반지층에 조용하고 전용넓은 원룸,21.06.22.,"5,000",30,"['25년이내', '융자금없는', '역세권', '소형평수']",행운공인중개사사무소,남향
2116188668,1144010200,마포구 ,DOC,월세,원룸,36,2/3,"넓은 분리형원룸,빠른입주,풀옵션",21.06.22.,"1,000",70,"['25년이상', '융자금적은', '소형평수', '방한개']",예스부동산공인중개사사무소,남동향
2116200853,1144010100,마포구 ,DOC,월세,원룸,54,5/5,"아현역 3분, 깨끗하고 넓음 ,즉시입주가능, 접근성최고",21.06.22.,"2,000",60,"['25년이내', '융자금없는', '역세권', '소형평수']",파트너공인중개사사무소,남향
2116163343,1144012000,마포구 ,DOC,월세,원룸,17,1/4,"저렴한 월세,2층, 깔끔한 시설",21.06.22.,500,43,"['15년이내', '융자금없는', '1층']",부동산톡공인중개사사무소,남서향
2116115909,1144011100,마포구 ,DOC,월세,원룸,27,저/2,대흥역 도보5분 역세권 분리형원룸 가성비 좋음 풀옵션,21.06.22.,300,30,"['융자금없는', '역세권', '소형평수', '방한개']",부동산114공인중개사사무소,남동향
2116107760,1144011100,마포구 ,DOC,월세,원룸,21,5/9,서강대학교남문 바로앞 깔끔한 풀옵션방 채광전망굿 대로위치  ,21.06.22.,"2,000",67,"['15년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,북동향
2116103128,1144011100,마포구 ,DOC,월세,원룸,19,3/9,서강대학교남문 바로앞 깔끔한 풀옵션방 채광전망굿 대로위치  ,21.06.22.,"1,000",60,"['15년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,남서향
2115238968,1144010400,마포구 ,OWNER,월세,원룸,26,2/3,풀옵션  초역세권,21.06.11.,"1,000",30,"['25년이상', '융자금없는', '역세권', '화장실한개']",한일공인중개사,남서향
2115152191,1144012500,마포구 ,OWNER,월세,원룸,18,4/5,"망원우체국사거리 망원역 가깝고, EV, 주차가능 원룸",21.06.11.,"1,000",49,"['10년이내', '융자금없는', '역세권', '화장실한개']",명성공인중개사사무소,북서향
2115189281,1144011100,마포구 ,OWNER,월세,원룸,20,2/5,신축 첫입주  광흥창역 대흥역 5분 넓고 깨씃한 풀옵션 원룸 엘레유,21.06.11.,"1,000",60,"['2년이내', '융자금없는', '화장실한개', '소형평수']",대신공인중개사사무소,동향
2114434048,1144011400,마포구 ,SITE,월세,원룸,30,중/4,풀옵션 정남향 밝고 전용 넓은 분리형 원룸,21.06.04.,"1,000",62,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남서향
